Livraison;RDC;41LIV;Livraison;251;2051;Bât. D - Livraison
Parking;RDC;41PARK;Parking;1086;1284;Parking
Acces piéton;RDC;41AP;Acces pieton;2604;218;Accès piéton
PC Sécurité;RDC;41PCS;PC Securite;963;384;PC Sécurité
Parking Motos / Vélos;RDC;41VELO;Local Velos;2507;1219;Parking Motos / Vélos
City Stade;RDC;41CS;City Stade;2455;812;City Stade
A;RDC;41AE001;Jim;3568;1941;Bât A - RDC - AE001
A;RDC;41AE002;Jim;0;0;Bât A - RDC - AE002
A;RDC;41AE003;Reprographie;3263;2613;Bât A - RDC - Reprographie
A;RDC;41AE004;bureau;3225;2613;Bât A - RDC - AE004
A;RDC;41AE005;Espace collaborateur;3405;2383;Bât A - RDC - Espace collaborateurs
A;RDC;41AE006;bureau;3403;2283;Bât A - RDC - AE006
A;RDC;41AE007;bureau;3403;2263;Bât A - RDC - AE007
A;RDC;41AE008;bureau;3403;2225;Bât A - RDC - AE008
A;RDC;41AE009;Espace d'attente;3374;2184;Bât A - RDC - AE009
A;RDC;41AE010;bureau;3145;2133;Bât A - RDC - AE010
A;RDC;41AE011;Local Photocopieur;3145;2107;Bât A - RDC - Photocopieur
A;RDC;41AE012;bureau;3145;2086;Bât A - RDC - AE012
A;RDC;41AE013;Accueil;3213;2107;Accueil
A;RDC;41AE014;bureau;3494;1979;Bât A - RDC - AE014
A;RDC;41AE015;Infirmerie;3499;1964;Bât A - RDC - Infirmerie
A;RDC;41AE040;Couloir;0;0;Bât A - RDC - AE040
A;RDC;41AE041;Local technique;3433;2415;Bât A - RDC - AE041
A;RDC;41AE042;Local technique;3431;2396;Bât A - RDC - AE042
A;RDC;41AE043;Local technique;3431;2378;Bât A - RDC - AE043
A;RDC;41AE044;Couloir;0;0;Bât A - RDC - AE044
A;RDC;41AE045;Couloir;0;0;Bât A - RDC - AE045
A;RDC;41AE046;Sanitaires;3433;2315;Bât A - RDC - Toilettes
A;RDC;41AE047;hall;0;0;AE047
A;RDC;41AE048;Sanitaires;0;0;Bât A - RDC - Toilettes
A;RDC;41AE049;Couloir;0;0;Bât A - RDC - AE049
A;RDC;41AE050;Escalier ;3501;2462;Bât A - RDC - AE050
A;RDC;41AE051;Sanitaires;3320;2120;Bât A - RDC - Toilettes
A;RDC;41AE052;Sanitaires;3330;2076;Bât A - RDC - Toilettes
A;RDC;41AE053;Sanitaires;0;0;Bât A - RDC - Toilettes
A;RDC;41AE054;Local technique;0;0;Bât A - RDC -  Local technique 1
A;RDC;41AE055;Local technique;0;0;Bât A - RDC - Local technique 2
A;RDC;41AE056;Local technique;0;0;Bât A - RDC - Local technique 3
A;RDC;41AE057;Escalier SS;3526;2148;Bât A - RDC - Escalier vers Sous-sol
A;RDC;41AE058;Couloir;0;0;Bât A - RDC - AE058
A;RDC;41AE070;Couloir;0;0;Bât A - RDC - AE070
A;RDC;41AE071;Ascenseur;3461;2484;Bât A - RDC - Ascenceur 1
A;RDC;41AE072;Ascenseur;3503;2140;Bât A - RDC - Ascenceur 2
A;RDC;41AE072;Escalier;3467;2143;Bât A - RDC - Escalier
A;RDC;41AE072;Escalier SS;3437;2445;Bât A - RDC - Escalier vers Sous-sol
A;R+1;41AE101;Atelier ;0;0;AE101
A;R+1;41AE102;Local Photocopieur;0;0;AE102
A;R+1;41AE103;Atelier ;0;0;AE103
A;R+1;41AE104;Espace d'enseignement;0;0;AE104
A;R+1;41AE105;Atelier ;0;0;AE105
A;R+1;41AE106;bureau;0;0;AE106
A;R+1;41AE107;bureau;0;0;AE107
A;R+1;41AE108;Atelier ;0;0;AE108
A;R+1;41AE109;Espace d'enseignement;0;0;AE109
A;R+1;41AE110;Espace d'attente;0;0;AE110
A;R+1;41AE140;Couloir;0;0;AE140
A;R+1;41AE141;Couloir;0;0;AE141
A;R+1;41AE142;Escalier ;0;0;AE142
A;R+1;41AE143;Local technique;0;0;AE143
A;R+1;41AE144;Local technique;0;0;AE144
A;R+1;41AE145;Escalier ;0;0;AE145
A;R+1;41AE146;Couloir;0;0;AE146
A;R+1;41AE147;Couloir;0;0;AE147
A;R+1;41AE148;Couloir;0;0;AE148
A;R+1;41AE149;Local technique;0;0;AE149
A;R+1;41AE150;Local technique;0;0;AE150
A;R+1;41AE151;Local technique;0;0;AE151
A;R+1;41AE152;Sanitaires;0;0;AE152
A;R+1;41AE153;Sanitaires;0;0;AE153
A;R+1;41AE154;Sanitaires;0;0;AE154
A;R+1;41AE155;Couloir;0;0;AE155
A;R+1;41AE056;Ascenseur;0;0;AE156
A;R+1;41AE057;Ascenseur;0;0;AE157
A;R+2;41AE201;Espace d'enseignement;0;0;AE201
A;R+2;41AE202;Espace d'enseignement;0;0;AE202
A;R+2;41AE203;Espace d'enseignement;0;0;AE203
A;R+2;41AE204;bureau;0;0;AE204
A;R+2;41AE205;bureau;0;0;AE205
A;R+2;41AE206;Espace d'enseignement;0;0;AE206
A;R+2;41AE207;Local Photocopieur;0;0;AE207
A;R+2;41AE208;bureau;0;0;AE208
A;R+2;41AE209;Espace d'enseignement;0;0;AE209
A;R+2;41AE210;Espace d'enseignement;0;0;AE210
A;R+2;41AE211;Espace d'enseignement;0;0;AE211
A;R+2;41AE212;Stockage ;0;0;AE212
A;R+2;41AE213;Espace d'enseignement;0;0;AE213
A;R+2;41AE214;bureau;0;0;AE214
A;R+2;41AE215;Local technique;0;0;AE215
A;R+2;41AE240;Couloir;0;0;AE240
A;R+2;41AE241;Local technique;0;0;AE241
A;R+2;41AE242;Local technique;0;0;AE242
A;R+2;41AE243;Escalier ;0;0;AE243
A;R+2;41AE244;Couloir;0;0;AE244
A;R+2;41AE245;Couloir;0;0;AE245
A;R+2;41AE246;Couloir;0;0;AE246
